0,4000001,40.33,Exercise_Fitness,Tennessee,credit
1,4000002,198.44,Exercise_Fitness,California,credit
2,4000002,5.58,Exercise_Fitness,California,credit
3,4000003,198.19,Gymnastics,Tennessee,credit
4,4000002,98.81,Team_Sports,Tennessee,credit
5,4000004,193.63,Outdoor_Recreation,Illinois,credit
6,4000005,27.89,Puzzles,Tennessee,credit
7,4000006,96.01,Outdoor_Play_Equipment,Ohio,credit
8,4000006,10.44,Winter_Sports,Ohio,credit
9,4000006,152.46,Jumping,Washington,credit
10,4000007,180.28,Outdoor_Recreation,Ohio,credit
11,4000009,121.39,Outdoor_Play_Equipment,Ohio,credit
12,4000009,41.52,Indoor_Games,California,credit
13,4000010,107.8,Team_Sports,Ohio,credit
14,4000010,36.81,Gymnastics,California,credit
15,4000001,137.64,Combat_Sports,Ohio,credit
16,4000010,35.56,Exercise_Fitness,Tennessee,credit
17,4000008,75.55,Water_Sports,Illinois,credit
18,4000008,88.65,Team_Sports,Illinois,credit
19,4000008,51.81,Water_Sports,Illinois,credit
20,4000005,41.55,Exercise_Fitness,Ohio,credit
21,4000005,45.79,Air_Sports,Illinois,credit
22,4000009,19.64,Water_Sports,Illinois,credit
23,4000009,99.5,Gymnastics,Illinois,credit
24,4000003,151.2,Water_Sports,Arizona,credit
25,4000009,144.2,Indoor_Games,Arizona,credit
26,4000009,31.58,Combat_Sports,California,credit
27,4000010,66.4,Games,California,credit
28,4000008,79.78,Team_Sports,Arizona,credit
29,4000001,126.9,Outdoor_Recreation,Arizona,credit
30,4000001,47.05,Water_Sports,Illinois,credit
31,4000008,5.03,Games,California,credit
32,4000008,20.13,Team_Sports,Illinois,credit
33,4000008,154.15,Outdoor_Recreation,Tennessee,credit
34,4000008,98.96,Team_Sports,Arizona,credit
35,4000008,185.26,Games,Washington,credit
36,4000007,35.66,Team_Sports,Illinois,credit
37,4000007,20.2,Outdoor_Recreation,California,credit
38,4000007,150.6,Outdoor_Recreation,Arizona,credit
39,4000006,174.36,Outdoor_Play_Equipment,Ohio,credit
40,4000005,165.1,Team_Sports,Ohio,credit
41,4000004,28.11,Indoor_Games,Washington,cash
42,4000004,38.52,Outdoor_Recreation,Arizona,cash
43,4000004,32.34,Water_Sports,Ohio,cash
44,4000001,135.37,Water_Sports,Washington,credit
45,4000001,90.04,Exercise_Fitness,Ohio,credit
46,4000001,52.29,Gymnastics,Ohio,credit
47,4000008,100.1,Outdoor_Play_Equipment,Washington,credit
48,4000007,157.94,Exercise_Fitness,Ohio,credit
49,4000010,144.59,Jumping,Washington,credit
50,4000010,55.93,Jumping,Washington,credit
51,4000002,32.65,Water_Sports,Arizona,cash
52,4000005,44.82,Outdoor_Play_Equipment,Arizona,cash
53,4000004,44.46,Water_Sports,Tennessee,cash
54,4000007,154.87,Outdoor_Recreation,California,credit
55,4000006,106.11,Water_Sports,Illinois,credit
56,4000002,176.63,Outdoor_Recreation,Washington,credit
57,4000003,178.2,Outdoor_Recreation,California,credit
58,4000002,194.86,Water_Sports,Arizona,credit
59,4000001,21.43,Winter_Sports,Ohio,cash
